Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Tip,Domeniu cercetare,Unnamed: 10,Link,Highlight
"Firte, Catalin; Iamnitchi, Loredana; Portase, Raluca; Tolas, Ramona; Potolea, Rodica;",Knowledge inference from home appliances data,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/10053977,
"Sălăgean, Andreea; Pașc, Andreea-Mădălina; Ardelean, Eugen Richard; Mureșan, Raul C; Moca, Vasile V; Dînșoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; ",Local Field Potential Microstate Analysis,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,221-227,2022,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10053960,
"Frasie, Alexandru; Vezan, Nicoleta-Teodora; Marian, Georgiana; Macicasan, Florin; Lemnaru, Camelia; ",Enhancements on a Pipeline Approach for Abstract Meaning Representation Parsing,"Engineering Applications of Neural Networks: 23rd International Conference, EAAAI/EANN 2022, Chersonissos, Crete, Greece, June 17–20, 2022, Proceedings",,,505-516,2022,Springer International Publishing Cham,C3-BDI,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-031-08223-8_41,
"Olariu, Eliza Maria; Portase, Raluca; Tolas, Ramona; Potolea, Rodica;",Predictive Maintenance-Exploring strategies for Remaining Useful Life (RUL) prediction,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,,2022,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/10053988,
"Mureșan, Denisa Bianca; Ciure, Raluca-Dana; Ardelean, Eugen Richard; Moca, Vasile Vlad; Mureșan, Raul Cristian; Dînș, Mihaela; ",Spike sorting using Superlets: Evaluation of a novel feature space for the discrimination of neuronal spikes,2022 IEEE 18th International Conference on Intelligent Computer Communication and Processing (ICCP),,,229-235,2022,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/10053955,
"Stoica, Anda; Kadar, Tibor; Lemnaru, Camelia; Potolea, Rodica; Dînşoreanu, Mihaela; ",Intent detection and slot filling with capsule net architectures for a romanian home assistant,Sensors,21.0,4.0,1230,2021,MDPI,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,https://www.mdpi.com/1424-8220/21/4/1230,
"Tolas, Ramona; Portase, Raluca; Iosif, Andrei; Potolea, Rodica;",Periodicity detection algorithm and applications on IoT data,2021 20th International Symposium on Parallel and Distributed Computing (ISPDC),,,81-88,2021,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/9521605,
"Tolas, Ramona; Portase, Raluca; Iosif, Andrei; Potolea, Rodica; ",Periodicity detection algorithm and applications on iot data,2021 20th International Symposium on Parallel and Distributed Computing (ISPDC),,,81-88,2021,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/abstract/document/9521605,
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Scalable data model for traffic congestion avoidance in a vehicle to cloud infrastructure,Sensors,21.0,15.0,5074,2021,MDPI,C1-Revista ISI,INGINERIA CUNOSTINTELOR,,,
"Rad, Andrei-Cristian; Muntean, Ioan-Horia-Mihai; Stoica, Anda-Diana; Lemnaru, Camelia; Potolea, Rodica; Dînșoreanu, Mihaela; ",Semantically Enriching Embeddings of Highly Inflectable Verbs for Improving Intent Detection in a Romanian Home Assistant Scenario,"Advances in Intelligent Data Analysis XIX: 19th International Symposium on Intelligent Data Analysis, IDA 2021, Porto, Portugal, April 26–28, 2021, Proceedings 19",,,251-262,2021,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-74251-5_20,
"Portase, Raluca; Tolas, Ramona; Potolea, Rodica",MEDIS: Analysis Methodology for Data with Multiple Complexities,2021 13th International Conference on Knowledge Discovery and Information Retrieval - KADIR,,,191-198,2021,SciTePress,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2021/106551/106551.pdf,
"Aldea, Roxana Ioana; Dinsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; Muresan, Raul Cristian; Moca, Vasile Vlad; ",Weighted Principal Component Analysis based on statistical properties of features for Spike Sorting,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,455-460,2021,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9733683,
"Dodon, Alexandru; Calugar, Marius Adrian; Potolea, Rodica; Lemnaru, Camelia; Dînşoreanu, Mihaela; Moca, Vasile V; Mureşan, Raul C; ",A Generative Adversarial Approach for the Detection of Typical and Drowned Action Potentials,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,477-481,2021,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9733643,
"Stan, Ioan; Ungur, Bogdan-Paul; Potolea, Rodica; ",Augmented Van Emde Boas Tree for Connected Vehicles Traffic Modeling,2021 IEEE 17th International Conference on Intelligent Computer Communication and Processing (ICCP),,,199-208,2021,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9733462,
"Portase, Raluca; Ucar, Bora;",Matrix symmetrization and sparse direct solvers,2020 Proceedings of the SIAM Workshop on Combinatorial Scientific Computing,,,128-137,2020,SIAM,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.researchgate.net/publication/339638251_Matrix_symmetrization_and_sparse_direct_solvers,
"Stoica, Anda Diana; Rad, Andrei-Cristian; Muntean, Ioan Horia; Daian, George; Lemnaru, Camelia; Potolea, Rodica; Dinsoreanu, Mihaela; ",The impact of Romanian diacritics on intent detection and slot filling,"2020 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",,,01-Jun,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266139,
"Cristian, Lungu; Potolea, Rodica; ",Optimising the pool test method for COVID-19 using evolutionary algorithms,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,123-127,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266155,
"Dan, Emanuela L; Dînşoreanu, Mihaela; Mureşan, Raul C; ",Accuracy of six interpolation methods applied on pupil diameter data,"2020 IEEE international conference on automation, quality and testing, robotics (AQTR)",,,01.May,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9129915,
"Mihalca, Andrei; Oprişa, Ciprian; Potolea, Rodica; ",Hunting for malware code in massive collections,"2020 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",,,01-Jun,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,,
"Pop, Roxana; Macicasan, Florin; Lemnaru, Camelia; ",A two stage approach for AMR parsing using the concept inference order,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,91-98,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266209,
"Chira, Codrin-Mihai; Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica; ",A system for managing and processing industrial sensor data: SMS,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,213-220,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266263,
"Batiz, Orsolya Bernadett; Helmer, Robert Paul; Pop, Roxana; Macicasan, Florin; Lemnaru, Camelia; ",Concept identification with sequence-to-sequence models in abstract meaning representation parsing,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,83-90,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266136,
"Crişan, Andrei; Florea, Gabriel; Halasz, Lorand; Lemnaru, Camelia; Oprisa, Ciprian; ",Detecting malicious URLs based on machine learning algorithms and word embeddings,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,187-193,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266139,
"Olariu, Eliza Maria; Tolas, Ramona; Portase, Raluca; Dinsoreanu, Mihaela; Potolea, Rodica;",Modern approaches to preprocessing industrial data,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,221-226,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/9266215,
"Chira, Codrin-Mihai; Portase, Raluca; Tolas, Ramona; Lemnaru, Camelia; Potolea, Rodica;",A System for Managing and Processing Industrial Sensor Data: SMS,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,213-220,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/document/9266263,
"Vasiu, Mihaela Alexandra; Potolea, Rodica; ",Enhancing tokenization by embedding romanian language specific morphology,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,243-250,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266140,
"Petruţiu, Vlad Mihai; Palcu, Liana Daniela; Lemnaru, Camelia; Dînşoreanu, Mihaela; Potolea, Rodica; Murseşan, Raul; Moca, Vlad Vasile; ",Enhancing the classification of EEG signals using Wasserstein generative adversarial networks,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,29-34,2020,IEEE,C3-BDI,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266157,
"Stan, Ioan; Ghisa, Raul; Potolea, Rodica; ",Urban traffic simulation methodology for connected vehicles congestion avoidance,Proceedings of the 22nd International Conference on Information Integration and Web-based Applications & Services,,,305-312,2020,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://dl.acm.org/doi/abs/10.1145/3428757.3429102,
"Palcu, Liana-Daniela; Supuran, Marius; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Discovering discriminative nodes for classification with deep graph convolutional methods,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, Würzburg, Germany, September 16, 2019, Revised Selected Papers 8",,,67-82,2020,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-48861-1_5,
"Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Discovering Discriminative Nodes for Classification with Deep Graph Convolutional Methods,"New Frontiers in Mining Complex Patterns: 8th International Workshop, NFMCP 2019, Held in Conjunction with ECML-PKDD 2019, Würzburg, Germany, September 16, 2019, Revised Selected Papers",11948.0,,67,2020,Springer Nature,,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-030-48861-1_5,
"Onofrei, Ioana; Sălăgean, Andreea; Sîrca, Narcisa; Moca, Vasile V; Nagy-Dăbâcan, Adriana; Muresan, Raul C; Potolea, Rodica; Dinşoreanu, Mihaela; Lemnaru, Camelia; ",Using Symbolic Analysis of Local Field Potentials for Anesthesia Depth Prediction,2020 IEEE 16th International Conference on Intelligent Computer Communication and Processing (ICCP),,,21-28,2020,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/9266151,
"Stoica, Anda; Kadar, Tibor; Lemnaru, Camelia; Potolea, Rodica; Dînşoreanu, Mihaela; ",The impact of data challenges on intent detection and slot filling for the home assistant scenario,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,41-47,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8959642,
"Ardelean, Eugen-Richard; Stanciu, Alexander; Dinsoreanu, Mihaela; Potolea, Rodica; Lemnaru, Camelia; Moca, Vasile Vlad; ",Space Breakdown Method A new approach for density-based clustering,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,419-425,2019,IEEE,C2-ISI Proceedings,INTELIGENŢĂ ARTIFICIALĂ,,https://ieeexplore.ieee.org/document/8959795,
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Smart driving methodology for connected cars,"2019 23rd International Conference on System Theory, Control and Computing (ICSTCC)",,,608-613,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8885450,
"Potolea, Rodica; Lemnaru, Camelia; ",Understanding and Addressing Change in Computer Science Education,2019 22nd International Conference on Control Systems and Computer Science (CSCS),,,395-397,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8745301,
"Albert, Erika-Timea; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; ",Keyword spotting using dynamic time warping and convolutional recurrent networks,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,53-60,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8959645,
"Stan, Ioan; Suciu, Vasile; Potolea, Rodica; ",Routing Algorithms in Connected Cars Context.,KEOD,,,290-297,2019,,C3-BDI,INGINERIA CUNOSTINTELOR,,https://www.scitepress.org/Papers/2019/81673/81673.pdf,
"Cristea, Lucian; Potolea, Rodica; ",A Robust Vehicle Trajectory Prediction System Deep learning based approach with a novel fusion technique,2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP),,,411-418,2019,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8959802,
"Palcu, Liana-Daniela; Supuran, Marius; Lemnaru, Camelia; Dinsoreanu, Mihaela; Potolea, Rodica; Muresan, Raul Cristian; ",Breaking the interpretability barrier-a method for interpreting deep graph convolutional models,International Workshop NFMCP in conjunction with ECML-PKDD,,,,2019,,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://scholar.google.ro/citations?view_op=view_citation&hl=en&user=GGOS0SAAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=GGOS0SAAAAAJ:8AbLer7MMksC,
"Bucur, Beniamin; Şomfelean, Iulia; Ghiuruţan, Alexandru; Lemnaru, Camelia; Dînşoreanu, Mihaela; ",An early fusion approach for multimodal emotion recognition using deep recurrent networks,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,71-78,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516437,
"Borsos, Zalán; Lemnaru, Camelia; Potolea, Rodica; ",Dealing with overlap and imbalance: a new metric and approach,Pattern Analysis and Applications,21.0,,381-395,2018,Springer London,C1-Revista ISI,INTELIGENŢĂ ARTIFICIALĂ,,https://link.springer.com/article/10.1007/s10044-016-0583-6,
"Dolean, Samuel; Dînşoreanu, Mihaela; Mureşan, Raul Cristian; Geiszt, Attila; Potolea, Rodica; Ţincaş, Ioana; ",A scaled-correlation based approach for defining and analyzing functional networks,"New Frontiers in Mining Complex Patterns: 6th International Workshop, NFMCP 2017, Held in Conjunction with ECML-PKDD 2017, Skopje, Macedonia, September 18-22, 2017, Revised Selected Papers 6",,,80-92,2018,Springer International Publishing,B2-Capitol de carte,INGINERIA CUNOSTINTELOR,,https://link.springer.com/chapter/10.1007/978-3-319-78680-3_6,
"Stan, Ioan; Toderici, Dan; Potolea, Rodica; ",Segment trees based traffic congestion avoidance in connected cars context,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,137-143,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516609,
"Hasna, Octavian Lucian; Potolea, Rodica; ",Analysing a periodical and multi-dimensional time series,"Mining Intelligence and Knowledge Exploration: 6th International Conference, MIKE 2018, Cluj-Napoca, Romania, December 20–22, 2018, Proceedings 6",,,268-278,2018,Springer International Publishing,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,,
"Lungu, Cristian; Potolea, Rodica; ",Super-Resolution Generator Networks: A comparative study,2018 IEEE 14th International Conference on Intelligent Computer Communication and Processing (ICCP),,,333-337,2018,IEEE,C2-ISI Proceedings,INGINERIA CUNOSTINTELOR,,https://ieeexplore.ieee.org/abstract/document/8516603,
